Ref;Description;Value;Footprint;Quantity;Netclass;Supplier;MPN;Notes
LED_MQTT;LED Yellow;Yellow LED 0805;LED_0805;1;Default;LCSC;C98473;
R_LED_MQTT;LED Resistor;470R 5%;R_0805;1;Default;LCSC;C25871;
LED_ERROR;LED Red;Red LED 0805;LED_0805;1;Default;LCSC;C98474;
R_LED_ERR;LED Resistor;470R 5%;R_0805;1;Default;LCSC;C25871;
U_USB_UART;USB-UART Bridge;CP2102N-A02;QFN-20;1;Default;LCSC;C84752;Firmware load
C_USB_DEC1;Decoupling Cap;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
C_USB_DEC2;Decoupling Cap;1uF 16V X7R;C_0805;1;Default;LCSC;C14637;
R_USB_PU_D+;USB D+ Pull-up;1.5k 5%;R_0805;1;Default;LCSC;C25871;
R_USB_PU_D-;USB D- Pull-up;1.5k 5%;R_0805;1;Default;LCSC;C25871;
J_USB;USB Connector;USB Micro-B;USB_MICRO_B;1;Default;LCSC;C84751;
F_USB;USB PTC Fuse;500mA PTC;R_0805;1;Default;LCSC;C147852;
D_USB_OVP;USB OVP TVS;SMDJ5.0CA;SOD-123;1;Default;LCSC;C147853;
C_USB_Bulk;USB Bulk Cap;10uF 16V X7R;C_0805;1;Default;LCSC;C14637;
U_ADS1115;16-bit ADC;ADS1115IDGSR;MSOP-8;1;Default;LCSC;C98457;I2C 4-ch
C_ADS_VDD;ADC Decoupling;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
C_ADS_VDD2;ADC Decoupling;10uF 16V X7R;C_0805;1;Default;LCSC;C14637;
R_ADS_SCL_PU;Pull-up Resistor;4.7k 5%;R_0805;2;Default;LCSC;C25871;I2C bus
R_ADS_SDA_PU;Pull-up Resistor;4.7k 5%;R_0805;2;Default;LCSC;C25871;
R_VIN_DIV1;Voltage Divider;100k 1%;R_0805;1;Default;LCSC;C25874;1% for accuracy
R_VIN_DIV2;Voltage Divider;33k 1%;R_0805;1;Default;LCSC;C25874;1% for accuracy
C_VIN_FILT;Voltage Filter;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
R_PH_DIV1;PH Divider;100k 1%;R_0805;1;Default;LCSC;C25874;
R_PH_DIV2;PH Divider;47k 1%;R_0805;1;Default;LCSC;C25874;
C_PH_FILT;PH Filter;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
R_TDS_DIV1;TDS Divider;100k 1%;R_0805;1;Default;LCSC;C25874;
R_TDS_DIV2;TDS Divider;47k 1%;R_0805;1;Default;LCSC;C25874;
C_TDS_FILT;TDS Filter;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
R_DO_DIV1;DO Divider;100k 1%;R_0805;1;Default;LCSC;C25874;
R_DO_DIV2;DO Divider;47k 1%;R_0805;1;Default;LCSC;C25874;
C_DO_FILT;DO Filter;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
U_DHT22;DHT22 Sensor;AM2302 / DHT22;DHT22_TH;1;Default;LCSC;C84793;Temp+Humidity
R_DHT_PU;Pull-up Resistor;4.7k 5%;R_0805;1;Default;LCSC;C25871;
U_DS18B20;DS18B20 Sensor;DS18B20;TO-92;1;Default;LCSC;C84794;
R_DS18B20_PU;Pull-up Resistor;4.7k 5%;R_0805;1;Default;LCSC;C25871;
J_SOIL;Soil Sensor Connector;3P 5.08mm;CONN_5.08_3P;1;Default;LCSC;C98741;
R_SOIL_DIV1;Soil Divider;10k 1%;R_0805;1;Default;LCSC;C25874;
R_SOIL_DIV2;Soil Divider;10k 1%;R_0805;1;Default;LCSC;C25874;
C_SOIL_FILT;Soil Filter;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
U_SDCARD;MicroSD Socket;MicroSD;MICROSD;1;Default;LCSC;C84755;
C_SD_DEC1;SD Decoupling;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
R_SD_DET_PU;Pull-up Resistor;10k 5%;R_0805;1;Default;LCSC;C25871;
R_SD_CS;Pull-up Resistor;10k 5%;R_0805;1;Default;LCSC;C25871;
R_SD_MOSI_PU;Pull-up Resistor;10k 5%;R_0805;1;Default;LCSC;C25871;
R_SD_MISO_PU;Pull-up Resistor;10k 5%;R_0805;1;Default;LCSC;C25871;
Q_RLY1;NPN Transistor;S8050 or DMMT5401;SOT-23;4;Default;LCSC;C84756;Relay driver
R_RLY1_BASE;Base Resistor;4.7k 5%;R_0805;4;Default;LCSC;C25871;
D_RLY1_FW;Flyback Diode;Schottky 40V 1A;SOD-123;4;Default;LCSC;C147852;
D_RLY1_RV;Reverse Diode;Schottky 40V 1A;SOD-123;4;Default;LCSC;C147852;
RELAY1;Relay 5V 10A;SPDT 5V 10A;RELAY_SPDT_5V;4;Power;LCSC;C84757;Socket type
R_RLY1_SNUB;Snubber Resistor;10R 5%;R_0805;4;Default;LCSC;C25871;
C_RLY1_SNUB;Snubber Cap;100nF 50V X7R;C_0805;4;Default;LCSC;C14633;
U_WD;Hardware Watchdog;TPL5010DDCT;DFN-8;1;Default;LCSC;C84758;
R_WD_DONE_PU;Pull-up Resistor;10k 5%;R_0805;1;Default;LCSC;C25871;
C_WD_FILT;Watchdog Filter;100nF 16V X7R;C_0805;1;Default;LCSC;C14633;
R_WD_WAKE;Pull-down Resistor;10k 5%;R_0805;1;Default;LCSC;C25871;
J_WD_DQ;WD Test Point;2P 5.08mm;CONN_5.08_2P;1;Default;LCSC;C98741;
J_I2C_EXP;I2C Header;4P 5.08mm;CONN_5.08_4P;1;Default;LCSC;C98741;
R_I2C_SCL_PU;Pull-up Resistor;4.7k 5%;R_0805;2;Default;LCSC;C25871;
R_I2C_SDA_PU;Pull-up Resistor;4.7k 5%;R_0805;2;Default;LCSC;C25871;
U_BME280;BME280 Sensor (opt);BME280;BME280_I2C;1;Default;LCSC;C84759;Temp+Humidity+Pressure
U_OLED;OLED Display (opt);OLED 0.96 I2C;OLED_I2C;1;Default;LCSC;C84760;
U_EXP1;IO Expander MCP23017;MCP23017T-E/SS;SSOP-28;1;Default;LCSC;C84761;I2C GPIO
U_EXP2;IO Expander MCP23017;MCP23017T-E/SS;SSOP-28;1;Default;LCSC;C84761;I2C GPIO
C_EXP1_DEC1;IO Expander Decoupling;100nF 16V X7R;C_0805;2;Default;LCSC;C14633;
C_EXP1_DEC2;IO Expander Decoupling;10uF 16V X7R;C_0805;2;Default;LCSC;C14637;
C_EXP2_DEC1;IO Expander Decoupling;100nF 16V X7R;C_0805;2;Default;LCSC;C14633;
C_EXP2_DEC2;IO Expander Decoupling;10uF 16V X7R;C_0805;2;Default;LCSC;C14637;
Q_RLY5;NPN Transistor (opt);S8050 or DMMT5401;SOT-23;4;Default;LCSC;C84756;
R_RLY5_BASE;Base Resistor;4.7k 5%;R_0805;4;Default;LCSC;C25871;
D_RLY5_FW;Flyback Diode;Schottky 40V 1A;SOD-123;4;Default;LCSC;C147852;
RELAY5;Relay 5V 10A (opt);SPDT 5V 10A;RELAY_SPDT_5V;4;Power;LCSC;C84757;
R_RLY5_SNUB;Snubber Resistor;10R 5%;R_0805;4;Default;LCSC;C25871;
C_RLY5_SNUB;Snubber Cap;100nF 50V X7R;C_0805;4;Default;LCSC;C14633;
J_RELAY_OUT1;Relay Output 7.62mm;3P 7.62mm;CONN_7.62_3P;4;HighVoltage;LCSC;C98742;
J_RELAY_OUT2;Relay Output 7.62mm;3P 7.62mm;CONN_7.62_3P;4;HighVoltage;LCSC;C98742;
J_RELAY_OUT3;Relay Output 7.62mm;3P 7.62mm;CONN_7.62_3P;4;HighVoltage;LCSC;C98742;
J_RELAY_OUT4;Relay Output 7.62mm;3P 7.62mm;CONN_7.62_3P;4;HighVoltage;LCSC;C98742;
J_DS18B20_EXT;DS18B20 Ext 5.08mm;3P 5.08mm;CONN_5.08_3P;1;Default;LCSC;C98741;
J_ANALOG_IN;Analog In 5.08mm;4P 5.08mm;CONN_5.08_4P;1;Default;LCSC;C98741;
J_I2C_EXT;I2C/SPI Ext 5.08mm;4P 5.08mm;CONN_5.08_4P;1;Default;LCSC;C98741;
J_UART_EXT;UART Debug 5.08mm;4P 5.08mm;CONN_5.08_4P;1;Default;LCSC;C98741;
J_EXP_HEADER;Expansion 2x5 5.08mm;2x5 5.08mm;CONN_5.08_2x5;1;Default;LCSC;C98743;
J_PWR_EXT;12V Power Out 7.62mm;2P 7.62mm;CONN_7.62_2P;1;Power;LCSC;C98742;
D_ESD_USB1;USB ESD Protection;USBLC6-2SC6;SOT-363;1;Default;LCSC;C147854;
D_ESD_IO1;ESD Diode;ESD SOT-23;SOT-23;4;Default;LCSC;C147855;
D_ESD_IO2;ESD Diode;ESD SOT-23;SOT-23;4;Default;LCSC;C147855;
D_ESD_IO3;ESD Diode;ESD SOT-23;SOT-23;4;Default;LCSC;C147855;
D_ESD_IO4;ESD Diode;ESD SOT-23;SOT-23;4;Default;LCSC;C147855;
J_MOUNT1;Mounting Hole M3;M3 Hole;M3_HOLE;4;Mechanical;LCSC;C00000;
